accident_index,longitude,latitude,cluster
2020160939936,-0.654534,53.590954,4
2020160940001,-0.38614,53.747831,3
2020160940047,-0.538013,53.774239,3
2020160940423,-0.420339,53.580621,3
2020160940605,-0.314643,53.750272,3
2020160940655,-0.310312,53.770158,3
2020160940783,-0.068686,53.513426,5
2020160940940,-0.874759,53.70678,1
2020160940971,-0.294781,53.754621,3
2020160941002,-0.387059,53.784015,3
2020160941050,-0.077389,53.561697,5
2020160941068,-0.058958,53.564888,5
2020160941082,-0.350344,53.761898,3
2020160941109,-0.331434,53.747559,3
2020160941122,-0.40817,53.779264,3
2020160941246,-0.552395,53.476463,4
2020160941355,-0.231345,53.993774,2
2020160941374,-0.496017,53.851741,3
2020160941383,-0.831865,53.608978,4
2020160941395,-0.092354,53.552264,5
2020160941407,-0.298903,53.747578,3
2020160941437,-0.317001,53.775897,3
2020160941655,-0.654012,53.586463,4
2020160941657,-0.332275,53.740496,3
2020160941763,-0.682887,53.575116,4
2020160941849,-0.310779,53.76683,3
2020160941868,-0.633454,53.567613,4
2020160941883,-0.044371,53.567833,5
2020160941948,-0.447032,53.716866,3
2020160941965,-0.034691,53.701926,5
2020160941968,-0.35368,53.767391,3
2020160941970,-0.570531,53.95728,3
2020160942242,-0.824837,53.511928,4
2020160942888,-0.357021,53.736586,3
2020160942890,-0.681062,53.592499,4
2020160942893,-0.327707,53.764254,3
2020160942920,-0.171261,53.798403,3
2020160942923,-0.764399,53.70866,1
2020160943154,-0.349294,53.758899,3
2020160943289,-0.362775,53.787884,3
2020160943341,-0.261361,53.778259,3
2020160943368,-0.659363,53.590685,4
2020160943399,-0.250524,53.745048,3
2020160943456,-0.34682,53.748509,3
2020160943502,-0.392604,53.744961,3
2020160943523,-0.393393,53.744935,3
2020160943563,-0.414204,53.839425,3
2020160943569,-0.124493,53.550911,5
2020160943585,-0.031768,53.560533,5
2020160943593,-0.384086,53.815598,3
2020160943600,-0.592563,53.655402,4
2020160943703,-0.568768,53.740002,4
2020160943728,-0.396842,53.738788,3
2020160943839,-0.415732,53.850906,3
2020160943885,-0.78044,53.929653,1
2020160943910,-0.328407,53.759616,3
2020160943947,-0.349461,53.760061,3
2020160944233,-0.304906,53.773642,3
2020160944294,-0.092397,53.550305,5
2020160944324,-0.285591,53.767245,3
2020160944428,-0.454883,53.762733,3
2020160944525,-0.353753,53.768623,3
2020160944542,-0.375183,53.760996,3
2020160944549,-0.074662,53.521658,5
2020160944561,-0.451379,53.934168,3
2020160944573,-0.093124,53.536481,5
2020160944581,-0.168702,53.540907,5
2020160944653,-0.388571,53.742956,3
2020160944698,-0.363718,53.743347,3
2020160944730,-0.336229,53.74403,3
2020160944782,-0.373734,53.745093,3
2020160944810,-0.824069,53.527705,4
2020160944854,-0.354127,53.769518,3
2020160945082,-0.333711,53.740615,3
2020160945093,-0.271729,53.757122,3
2020160945111,-0.251754,53.795432,3
2020160945128,-0.612739,53.565694,4
2020160945136,-0.373496,53.728495,3
2020160945152,-0.385465,53.750411,3
2020160945158,-0.656635,53.561377,4
2020160945213,-0.161691,53.913328,2
2020160945247,-0.130618,53.570505,5
2020160945385,-0.866604,53.705256,1
2020160945397,-0.343722,53.740888,3
2020160945406,-0.343309,53.794583,3
2020160945413,-0.150527,53.560036,5
2020160945436,-0.092413,53.57108,5
2020160945527,-0.324474,53.786798,3
2020160945532,-0.304477,53.790319,3
2020160945590,-0.340659,53.795185,3
2020160945591,-0.612856,53.793995,4
2020160945624,-0.200724,54.102103,2
2020160945632,-0.227102,53.604587,5
2020160945979,-0.421446,53.851763,3
2020160945986,-0.340612,53.749403,3
2020160946011,-0.351885,53.749684,3
2020160946035,-0.364614,53.735116,3
2020160946042,-0.124509,53.55021,5
2020160946099,-0.30498,53.759368,3
2020160946200,-0.444813,53.958353,2
2020160946246,-0.075957,53.567302,5
2020160946252,-0.391788,53.741309,3
2020160946258,-0.374434,53.72814,3
2020160946275,-0.250765,53.745088,3
2020160946285,-0.363448,53.781907,3
2020160946322,-0.874719,53.70429,1
2020160946330,-0.082781,53.567007,5
2020160946349,-0.484183,53.724651,3
2020160946360,-0.069131,53.567974,5
2020160946370,-0.364681,53.768917,3
2020160946376,-0.288754,53.766329,3
2020160946431,-0.454469,53.752524,3
2020160946569,-0.616484,53.566627,4
2020160946611,-0.091765,53.564687,5
2020160946666,-0.673867,53.565075,4
2020160946722,-0.099708,53.565002,5
2020160946810,-0.317737,53.744581,3
2020160946833,-0.13843,53.563543,5
2020160946846,-0.294368,53.947359,2
2020160946874,-0.375978,53.750616,3
2020160946884,-0.44233,53.730109,3
2020160946932,-0.877797,53.713308,1
2020160946947,-0.414325,53.732718,3
2020160947006,-0.331921,53.767414,3
2020160947046,-0.39372,53.744724,3
2020160947058,-0.49813,53.866194,3
2020160947066,-0.096585,53.574715,5
2020160947072,-0.297645,53.762563,3
2020160947092,-0.360804,53.742247,3
2020160947103,-0.378778,53.743678,3
2020160947115,-0.337442,53.740963,3
2020160947124,-0.298849,53.750436,3
2020160947148,-0.47046,53.613229,4
2020160947165,-0.386162,53.750421,3
2020160947345,-0.340991,53.673549,3
2020160947430,-0.38317,53.750542,3
2020160947648,-0.273166,53.759822,3
2020160947664,-0.672212,53.584176,4
2020160947716,-0.821388,53.538969,4
2020160947749,-0.050268,53.555838,5
2020160947762,-0.096274,53.563815,5
2020160947771,-0.569488,53.733098,4
2020160947784,-0.397899,53.756043,3
2020160947794,-0.683291,53.578617,4
2020160947803,-0.120807,53.557433,5
2020160947811,-0.388926,53.767762,3
2020160947826,-0.32649,53.796417,3
2020160947868,-0.308897,53.755144,3
2020160947871,-0.344281,53.743269,3
2020160948010,-0.103807,53.566218,5
2020160948011,-0.457767,54.072755,2
2020160948012,-0.777388,53.935078,1
2020160948089,-0.341172,53.746741,3
2020160948272,-0.818145,53.569814,4
2020160948352,-0.090751,53.562037,5
2020160948378,-0.44878,53.721662,3
2020160948407,-0.308108,53.676972,3
2020160948414,-0.457658,53.725489,3
2020160948427,-0.041661,53.549665,5
2020160948494,-0.327759,53.767544,3
2020160948573,-0.879148,53.492234,4
2020160948630,-0.3601,53.753689,3
2020160948769,-0.084247,53.702575,5
2020160948795,-0.079489,53.553658,5
2020160948909,-0.414662,53.587019,3
2020160948919,-0.668562,53.563299,4
2020160949092,-0.632647,53.577195,4
2020160949104,-0.359382,53.747216,3
2020160949155,-0.844064,53.493095,4
2020160949168,-0.325898,53.790296,3
2020160949224,-0.447696,53.856438,3
2020160949230,-0.450926,53.645105,3
2020160949392,-0.341733,53.779865,3
2020160949442,-0.311893,53.766666,3
2020160949456,-0.323221,53.785872,3
2020160949526,-0.568811,53.740066,4
2020160949679,-0.412507,53.744336,3
2020160949683,-0.078215,53.5538,5
2020160949684,-0.01657,53.545863,5
2020160949704,-0.087187,53.568408,5
